ID,Solution,Feature0,Feature1,Feature2,Feature3,Feature4
0,1246.5,40,88,25,18,16
1,1136.5,19,89,44,3,22
2,1885.6,58,84,23,88,95
3,1172.6,31,46,88,1,13
4,1225.7,25,40,19,96,74
5,944.7,57,7,14,10,86
6,2181.8,90,87,64,63,42
7,1871.8,97,96,35,8,28
8,1119.9,38,20,84,31,3
9,1672.9,55,75,28,85,48
10,1669.1,88,85,18,27,21
11,956.1,24,11,53,51,46
12,1082.2,3,80,34,6,88
13,1109.2,66,39,4,26,37
14,1401.3,34,72,54,60,8
15,2439.3,89,95,83,67,68
16,1502.4,73,32,56,21,66
17,1143.4,37,18,67,33,49
18,1234.5,21,76,48,15,54
19,1745.5,47,62,86,36,75
